Description,Is_Response
"The room might be a - star room, but the bathroom is definitely only - stars. I can see pipe sticking out of the wall in the tub and the water control looks like it's about to fall apart. I'm disappointed--I was looking for a more obviously --star experience.",not happy
"Good value for money when compared to the other -more expensive and often more dated- hotels on Michigan Ave. Great location across Grant Park and close to the major landmarks of Chicago. The bar downstairs serves good breakfast, and staff were very friendly, both in the bar and in the hotel.
The bathroom could have been cleaner, but it wasn't dirty. The room itself was spacious and very clean!",happy
"My standard size room was so spacious that it seemed like a suite. The floor to ceiling window covered almost the entire end of the room -- probably -- feet or so in length -- and allowed lots of light in the room, although the room darkening drapes could be pulled when you wanted to block the morning sun. The large bathroom had a vanity-dressing area and a nice marble style counter, with a separate toilet-shower area.
The service was among the best I have received, with extra special touches like having the front desk call my room an hour or so after check in to ask if I was finding everything okay and to ask if I needed anything else. Later when I needed to go to someplace in town, I was offered a private car shuttle on a gratuity only basis, and I was told they would come pick me up when I was ready as well.
The restaurant food was above average and the prices were very reasonable, even for room service.
The Warwick has great service and is a great value. I highly recommend it.",happy
"The position is great. The rooms are spacious but there are some drawbacks. The lobby is like the departure lounge of a busy airport. The room service is extremely expensive. The concierge is overworked and needs to be chased up. However, the pluses considerably outweigh the minuses.",happy
"It is so hard to find a good hotel in NYC, when you're going in blind. My brother picked this hotel, he and his wife stayed in one room, my mom and I stayed in another. NYC hotel rooms are notoriously small, these were very generous, could easily have accommodated - more people and still not gotten in each other's way, Full bathroom, lots of room to put your toiletries down. You can request your choice of type of pillow! Good front desk, attractive lobby. Not happy that you had to pay like $- for -- minutes of computer time but maybe this is normal in the city? Only complaint but for me was a big one, was the location. It was a -- minute walk to attractions, and had to cab it more than I would have liked. Aside from that, I would have stayed here again, when I visited the next month.",happy
"This was a real let down.
We were told free internet, the only free net is when you have to stand in the public lobby and log in every -- min.It costs to get wifi in your room!how stupid.
Rooms are dated and the """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""amazing city view"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" we were promised was just a view, nothing special.
There is no room in the mini bar for your own stuff and no tea and coffee facilities.
Wish I'd gone somewhere else",not happy
"The price was reasonable, rooms were recently remodeled and clean. They also offered the pool with hot tub for the kids, and had a very nice breakfast that included waffles, cereal, bagels and rolls. The kids loved it. We had shuttle to the airport and the hotel staff was very friendly.",happy
"We stayed at the hotel for two days. Facility is nice and clean and pretty close to expressway, restaurants and shopping. We stayed on fifth floor and it was quite. Our complain is with lukewarm water in shower. It never got hot. The wifi also keep on dropping of. Breakfast was standard fare. Staff was friendly and attentive",not happy
"My wife and I chose the Lombardy for three nights because my daughter's wedding was held next door, at the Arts Club (another pretty special place). From now on, regardless of my reason for visiting DC, I will return to this wonderful boutique hotel. Everyone was delightful, our small suite overlooking the park was very nice (although the closet was very tight & a higher floor may have been a bit quieter). Most of all, we enjoyed the pleasant and helpful staff. How about this??? When we needed an extra hour for the wedding rehearsal (overbooked next door) the SALES department suggested we use the Venetian lounge .... gartis. That takes """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""on the house"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" to a new level in the hotel industry. We only ate breakfast in the restaurant but it was exceptional. And one tip if you drive into DC; the valet parking was about $-- a night, but well worth it, and our car, with wine and gifts in the back, was always there when we needed it",happy
"This Hotel cannot fail. Its Location makes it an obvious and irresistable place to stay. That is the root of its problem. Or more accuratly its customers problem. The Room was generous in size, with a sitting room and kitchenette. 
However, Wifi is unacceptable for this day and age. They use the the adjoining RV park system which is poor. the Bar is tired and closes early. All of this could be understood but the attitude of the Staff should overcome all of these things. I say should because my experience was that they did not really care. They were uninspired and that is a management issue. The business knows that tourists will come anyway. These leads to a complacent team that does the bare minimum. This could be a great experience. If you are staying at the heartbreak hotel you are looking for a particular experience. It needs the staff to realise and share in this. I've never heard a free ride in a pink cadillac described in such unenthusiastic tones. Its hard to convey but they almost put you off. It was the only time we felt unwelcome during a - week tour of Kentucky and Tennessee.",not happy
"I cannot understand how various travel sites give the W New York a four star rating. At best, this one deserves three and that's being generous. This hotel's rooms are extremely small and not at all designed with a guest's comfort or needs in mind. There was not one drawer -- even in the deeply scratched desk or nightstand -- in the """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""spectacular"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" room we booked for three nights. This was a two level upgrade above the even tinier """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""cozy"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" and """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""wonderful"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" levels. We referred to the room as our spectacular closet. Folded clothing was supposed to go into the narrow cubbies of a fabric hanging shelf thing, sold in home stores as a device in which to stack shoes. They hung this improvised dresser from the closet rod and it ate up half of the closet space. The bathroom was also miniscule with just a stall shower with no tub, and it smelled musty because there's no ventilation. When I complained about the smell which was reminiscent of old, wet towels, they sent someone from housekeeping to spray some heavily perfumed air freshener which just made it worse. The ambiance is pretentious and the place tries way too hard to be...I'm not quite sure what it's trying to be. 
On the plus side: the beds are comfortable, the Bliss toiletries are nice and the location can't be beat. The Waldorf, a Marriott, Doubletree, Kimberly Suites and the Benjamin are all within a block of this hotel and I'd opt for one of these before ever returning to this particular W. Very disappointing.",not happy
"I have stayed at this property several times. Starting June - the property came under new management. Before it was a great place to stay with friendly managers, clearn rooms, etc. Now with the new management, they jack you around with the rates - changing even after quoting a price, post notes on your door to come and pay them before the money is due, etc. The feel has really changed in this once very nice place.",not happy
"I stayed here over the weekend. The hotel was friendly, quiet and the staff were really helpful. The room was spacious and modern. Really comfortable. Breakfast is a little basic, cereal, yogurt, fruit and waffles.
As a single female traveller the location wasn't ideal as Ellis street is located near a couple of soup kitchens which made the surrounding area (Tenderloin area) a bit intimidating to a non-local. That said, the hotel staff were great at advising which streets were more tourist-friendly, also providing a free shuttle bus to key locations and I didn't have any problems walking the advised routes. Union street is just -- mins walk away. However if I were to visit San Franzi again I'd probably look for something nearer to North Beach as it was a shame to have to be so cautious when going for a stroll.",happy
"Believe it or not this is all true. I'm here on business and have a sore throat and probably caught a cold. It's freezing in this room and I'm still here as I write this. I'm writing because nobody here will fix the problems.
First two nights, the room was freezing, in the --'s. I called down and engineering told me that the hotel is on air conditioning only - so turning the heat on will only blow cold air - until October --! I asked for a heater and he said we can only send up blankets. So that was day one - walking around with a blanket over my head and wrapped around me.
Day two: -am I call because I'm freezing. They said they have a massive group checking out and more heaters became available, and they'd send one """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""right up"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""". They credited me one night stay.
---pm: Still no heater. I called down and with profuse apologies housekeeping sent one up - credited me a -nd night stay. The heater worked for all of - hours and broke. Telephone was broken (handset) so I had to use the portable phone to call and ask for the phone to be replaced. """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Right away, sir"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""". It's --- next morning - still no phone. Oh also I was told the manager was very concerned and would call within three minutes - still have not heard.
Last night my girlfriend tried to take a bath - and the hot water wasn't working. Completely exhausted, we curled up in the freezing room. 
Two nights no heat in a freezing room. No hot water in the tub. Phone is broken. Requests that go unanswered. Welcome to the Waldorf Astoria!",not happy
"Very good value. What do people expect for the money & the prime location? The hotel has considerable old-world charm from the --s & --s (the lobby is stunning), though the rooms could perhaps benefit from some repainting.",happy
"Good location about - blocks from the --th St mall, rooms very average Hilton style.
Staff helpful on the front desk, good breakfast buffet.",not happy
"I'm a huge fan of bed and breakfasts, but that's a tough goal if you're traveling to New York. I found boutique hotels to be the next best thing to a bed and breakfast. In December ----, I checked out three boutique hotels in Manhattan. Out of the three, I enjoyed the Library Hotel for its quality service, scrumptious breakfasts and most of all, its decor and book motif. 
Staying here made me feel at home even though I was in the heart of New York's nerve center. While I found the Library to convenient for my family, I think it's perfect for the business traveler and couples.",happy
"Great location (--th & -th), really close to everything. Hotel still undergoing renovation but renovated rooms are cool. Small, but decent for NYC. Looked clean on first glance but then we found a sock which didn't belong to us, so we became a bit suspicious...! Also, things are just shabby around the edges - no accessible powerpoints, even when you find them half don't work. 
It's a decent hotel and great for a short stay, especially for the price, but just don't expect the earth. We found the concierge useless, and we found the luggage porters were not shy of asking for tips which we found a little forward. But otherwise, staff were very nice, it's convenient, and you'll have a good stay there.",not happy
Our recent stay at the enVision Hotel was during Hurricane Sandy. The staff was so friendly and tried to accomodate our every need. This is a new hotel with very nice rooms and extremely comfortable beds. Thanks to enVision for sheltering us through the storm. We would definitely stay there again.,happy
"Three stars is generous for this Westin. Rooms are small and very ugly. Gym is adequate at best with just a few treadmills. If you can, stay at the other Westin in Chicago. It is much much nicer. This Westinl location is convenient. View from the Hancock Tower dining room across the street was lovely. Should have stayed at the Four Seasons a block away. Was only twenty dollars more. Elevators were very slow. Hard to believe this is a Westin. Even the bathroom was yucky.",not happy
"Number one - I booked direct on the hotel website and took the early bird non-refundable rate and it is phenomenal! $--- including taxes - which are $-- of the total. Excellent friendly staff - I haven't stayed there in about -- years, but the rooms are lovely after the recent remodeling. Huge, deep comfortable tubs and lovely soothing decor and large rooms. No complaints! Parked at Greektown and walked the short distance to save the $-- for valet parking.",happy
"If you want to be in the soho area, this is a great option. The rooms are very nice and small. I don't reccomend eating there because it's not fantastic food and the prices are high, but it's soho! there are many options for food! The hotel often has good deals so try to get one ;) over all it's a good and cool place.",happy
"My wife an I stayed here for a weekend getaway and could not have been more pleased. Felt like a small intimate hotel. Location was excellent, away from the crowds but only a block or so away from everything in Times Square. Parking garage is right next door and the subway is - block over. Elevators are fast and plentyful, never had to wait. Room was great, clean, comfy bed with memory foam top, -- in flat screen TV,fridge,microwave, good amenities and windows that open!
Business center with - pc's and printer, nice lounge area with couches and TV. Plenty of non chain eateries,
 I travel a lot in my work and can be overly picky but we were very satisfied with the Hilton Garden Inn and would return.",happy
"I have found other luxury hotels artifical and stilted. This hotel manages to be both luxurious and relaxed, respectful and vibrant all at the same time. Everything is perfect from the analogue clock and an umbrella in each room, the shower, bed, etc. Staff are especially excellent - attentive without ever being overbearing or too formal. 
The location in Beacon Hill is an ideal base for exploring Boston.
I highly recommend the Liberty!!",happy
"I had booked this room in anticipation of flight cancellations due to weather. This eventuality did happen. I requested early check in and extra feather pillows. Both requested were granted at no additional charge. The room was spotless; the bed was extremely comfortable. The one slight drawback was the noise of the airplanes taking off, but eventually it abated. I ordered room service. It was extremely prompt and the presentation was wonderful. The buffet breakfast the next morning was plentiful with a nice variety to please all tastes. Every person on staff was extremely friendly and courteous. I will definitely stay her again.",happy
"I stayed at the Westin Tabor Center for one night on a business trip and was not impressed. I'm pretty sure this is the worst Westin I've ever stayed at. 
The employee at check-in was neither personable or helpful. She took about -- minutes to check me in which should really only take up to - minutes. She also didn't have anywhere to recommend for dinner. I don't know if I got stuck with a room that has yet to be renovated or if they just did a shabby job at renovating my room. There were stains on the furniture and all sorts of hair on the bed when I arrived. The hair was definitely not my own! There was trash throughout the room that was presumably left by the person(s) who stayed in the room before me which housekeeping overlooked before I arrived. It is not very welcoming to arrive in a hotel room that is more or less dirty. My coworker also stayed at the hotel and that room was cleaner and nicer than mine. 
On the plus side the room was spacious as was the bathroom. The hotel is situated downtown near restaurants and shopping. There were lots of dining options. I was at the hotel for less than -- hours so I didn't experience the rest of the hotel. This hotel really made me not want to return to another Westin for a while.",not happy
"Stayed April -- to May - with family for one week vacation in New York. Had read the previous reviews on Tripadvisor which were very good. Did not disappoint. Stayed on the --th floor. Upon check in, we had two queens that were too soft ( have a bad back) and front desk kindly moved us to another room, where beds were more firm. Hotel is very well managed, have committed staff, and this is why they consistently are rated very well. Location is very central to theatres, times square, walkable to central park ( -- min), empire state building (-- min). Grayline sight seeing bus across the street, as well as Bikram Yoga NYC. Restaurants in times square are so so, but concierge was very helpful in guiding you to restaurants in Hell's Kitchen and nearby. Would come back again.",happy
"My wife and I stayed here for our honeymoon. We wanted a comfortable luxury hotel that was close to the Mag. Mile. We were able to get a Corner King on the --st floor. It was a great view. 
The pluses
-Amazing bed
-The shower was very lavish
-Hotel staff were very helpful
-Breakfast (free if you make your reservations online) was delicious and very filling
-Location (near Mag Mile with a Whole Foods around the corner for easy snacks)
-MP- docking station was a nice add on
-The gym was sufficient for a quick workout
-The Spa was helpful and my massage felt wonderful after alot of walking around Chicago and my wife enjoyed her manicure and facial. 
Minuses 
-The second floor entrance was a slight problem but nothing that you can't handle
-The ceilings were much to look at
-The Spa prices were higher than we were used to but seemed to be inline with downtown Chicago. 
So as you can see I don't have alot of negative things to say about Dana. The service was great, the view was wonderful and the amenities were lavish. I would recommend this hotel to young couples or hip familes visiting Chicago for leisure",happy
"I treated my husband to a surprise getaway to Seattle to see one of our favorite bands. We stayed overnight at The Edgewater. The moment we drove onto the hotel property, I was impressed. A circular driveway complete with water feature and two-way fireplace greeted us as we stepped into the rustic, lodge-like lobby. We felt as if we were far from home (really, only -- miles north of Seattle) because it felt like vacation. The reception desk was timely and courteous in checking in. We found at time of check-in we'd been upgraded from a waterside room to a waterfront room which turned out to be just breathtaking! Views of Elliott Bay on a perfect, sunny day greeted us as soon as we entered our room. Our room was spacious, our bed perfectly comfortable, and the bathroom beautiful with its slate shower and flooring. Perfect, relaxing and beautiful night away. We had reservations at the restaurant, Six Seven....the food was divine! The wait staff impeccable and professional, yet friendly. The concierge was most helpful in ordering us a taxi downtown. The next morning, we ordered breakfast in our room and were again blown away by the quality of food....we're still talking of it a day later! Overall, The Edgewater is a place we will return to and recommend to our friends and family.",happy
"i must admit I was looking forward to staying at the hotel after reading the reviews and awards.
I just am going to say that this place is not my cup of tea.
If this is the type of etablishment that wins awards these days, then Trip Advisor has a problem.
It was just mediocre- people were nice, breakfast was okay, etc., but nothing to write home about.
The trip started pretty badly as I had Casa arrange an airport pickup. The driver was tremendously unprofessional (a very fat, dirty and smelly version of Danny DeVito) and the car smelled like someone had slept in it for three days.
I complained to the Casa- and they were very understanding and would look into it.
However, if this boutique is all that it is said to be via comments, I would think that they use a first-rate car service.
In any event, it was probably my mistake as I should have used Select Seven or some other service that I knew would be good.
In all, not worth making the effort to come here. It is clean and well-kept, but I could stay at another comparable HOTEL (not a boutique) per night and probably get better service.
This is more for people that don't come to NYC that often and think that it is a city filled with ingrates and people who would soon rather kick you in the teeth than open a door for you.
For those people, just a word of advice: There are a lot of nicer hotels- with people just as nice as Casa. I smell: A TOURIST TRAP here.",not happy
"I was in search of a nice hotel in the Jacksonville area and found the Hyatt Place on a Google seach. In doing so, the price was around $---night. I waited about a week later to make my reservations and the price had gone down tremendously...$--. WOW, what a deal. It was for online booking and had to be paid upfront...at this price, it couldn't be beat. Restaurants and shopping within minutes. But most importantly, this hotel really held up to the Hyatt reputation. Beautiful facilty and a great staff...and I can't leave out the kyosk for ordering. Food at your fingertips...You must try the made to order GIANT CHOCOLATE CHIP COOKIES...- words: De-Lish-Us!!!",happy
"I got a very good deal for this hotel as part of a flight+hotel bid on priceline. I was a bit skeptical about it, but it surely didn't disappoint. It is located a few steps away from the magnificent mile. The Art Institute, the Millennium Park and the Navy Pier are all within walking distance. The ---floor hotel also provides a good view of the city from the terrace. The rooms are small, but clean and well appointed and there are room delivery options from nearby restaurants. Might encounter a long wait if you are checking in the afternoon and the hotel seemed to a bit difficult to deal with if you are a smoker.",happy
"Staff was friendly - new to the city, I was given a subway line tutorial and and nice map pf Manhattan. 
Room was small but nicely furnished - large bed - great free standing closet and flat screen TV!
Bathroom had nice space - shower was nice - very clean!
Nice place to relax after a very busy day spent playing tourist!",happy
"Although much of the vintage charm of the York Hotel is gone, the new Hotel Vertigo is really a treat. The bed and sheets are very comfortable, the bathroom spotlessly clean with mod sink and shower (and H-- toiletries), and the extra touches like the signature lamps and mirror are very cool. And the rates are very affordable. (We got a Renovated Queen for $--.) 
A couple of drawbacks were the fact that the heating system hasn't been upgraded with the rest of the hotel (yet) and was quite loud. Parking is less than ideal, but really no different than the rest of the city. 
Depending on your preferences, the renovation is either a bonus or a letdown. If you're looking for a cool boutique hotel, you'll love it. But if you're hoping to re-create a shot-for-shot scene from the Hitchcock classic, you're out of luck.",happy
"No question, it's a beautiful hotel in a great location, but for what you pay, you'd expect service to be top-notch... Not the case here. Unhelpful and sometimes even surly staff ensured that I will not be returning here anytime soon. Plenty of great options in NYC that are just as nice, for less money, without the unnecessary attitude.",not happy
"I'm on business, and I travel from city to city. This hotel is a good place to stay, no insect problems, clean, very appartment like. I would send freinds here to stay.",not happy
"Living near LA, my family and I were originally planning to visit friends in San Diego on Saturday for a day at the beach and drive back that night. My wife suggested we make a weekend out of it. I started to look into hotels, but San Diego hotels are so overpriced on Saturday nights. We went on Priceline.com and put in a bid for $--. We were surprised when our bid was accepted. Even more suprised to find out the hotel we got was a Hilton Doubletree- and to book the same room at Hilton's website was $---! So we really lucked out. Location of the hotel is near Del Mar off the - Fwy. It's more in a business area than a tourist area. We were able to check in early. Nothing spectacular about our room- average size with - queen beds and view of the parking lot. But at least it was clean and the beds were comphy! For $-- on a summer Saturday night in San Diego- we can't complain. We ended up us getting free breakfast buffets for the next morning, and enjoyed their very nice pool. We would stay here again! So definetely try Priceline and you might get a good rate here.",happy
"We went up for a weekend vacation and were very happy with both the service and the hotel itself. Great people and, our room at least, had a great view.
Stay here, you'll be glad you did.",happy
"This is a nice hotel, with decent rooms, an outstanding entrance, and a good location. Regarding the hotel, there isn't much that can be improved on for the value and is worth the money. However, avoid the hotel bar, Garrity's, and their restaurant, The Cafe. At Garrity's, it took -- minutes to order a drink, then -- more to get my check after setting behind an empty glass for -- minutes. Then, as I didn't leave a tip, since tips are for receiving acceptable service, the restaurant added an $-.-- """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""service charge."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" I had to argue this with the front desk before leaving. They thought the bill must have been from room service. The waiter simply added the service charge as a way to make up for the tip he didn't earn and didn't get. So, long story short, check your bill before you leave. The waiter at Garrity's was simply assuming I wouldn't actually look at the bill. The breakfast buffet at The Cafe is $--. You will get more freshly reheated food from McDonald's for --- of the price. So, take the short drive to other restaurants, as there are hundreds within a -- min drive.",happy
"It is clear the PUBLIC Chicago's strongest attribute is the excellent customer service. We had nothing but a pleasurable experience with the staff. The common areas and Pump Room are just what you'd expect from a Schrager hotel - very hip and modern. I suppose all of this would make up for the lackluster guest rooms. They are minimalist to the point of being cheap. Speaking of cheap, we booked our room on Priceline for just $--. Bargain price for a Chicago hotel room!",not happy
"I would actually give this hotel - --- overall rating but they don't let you do halfs. Though I stayed here for work, I try and save money on accomadations. For the price of the room, this was a great hotel. When my travel agent gave me a quote on a nationally named hotel chain that I usually stay out in other cities, I gladly accepted a room at the King George. My room and sheets were clean and the staff was helpful. The internet had issues, especially at night when everyone was using it. The room was small, but I don't need a big room. I would stay here again if I went back with my wife for a vacation. The location was great, there are resturants surrounding the hotel and it's just a block away from Union Square and three blocks from iBart.",not happy
"Location is close to seaworld and the zoo. Hotel is pretty large. Disappointed with having to pay for parking. Rooms were decorated nicely with good furniture. Rooms were nicer than expected. Good location off of expressway, but that naturally brings noise. I was overall pleased with my visit.",happy
"I adored everything about this hotel: the decor, the service, the room, the bed, the view, the elevators, everything. The hotel restaurant """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Cafe des Architectes"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" is well worth the money (especially for breakfast). If you love comfortable modern chic with extremely friendly people, this is the hotel for you. I highly recommend staying here.",happy
"I loved the rooms and the hotel. They were small, but very comfortable. They rooms could be a little noisy, but it didn't bother me. Everything about the hotel made me feel comfortable and relaxed. We were able to walk to Seaport Village and anywhere in the Gaslamp district. We enjoyed going to the Tap Room that is just down the street and a little Gelato place in the Gaslamp district. It is also a short walk to the Copley Sympathy Hall where we attended a concert.",happy
A lovely hotel with lots of history. A little out of town but easily accessble via metro close to the sights. Room was little sparse but perfectly clean and a very good size. Staff were very helpful when the safe battery expired and other enquiries. The swimming pool is shallow which makes it very safe for children. We ate breakfast across the road at a fabulous diner.,happy
"We had wonderful service and all the staff was very helpful, especially Latrece. She went out of her way to help us with our luggage. The room was great. Enjoyed the gym as well. The food for our lunches and dinners was wonderful. The room was cleaned in a timely manner. All the staff were very nice and helpful. The bathrooms throughout the hotel were cleaned and stocked regularly. With a convention that has a lot of women that is a hard task.",happy
"We stayed at the JW Marriott as a family a weekend in August. We rented a suite with two ajoining rooms. The suite was huge and spacious, nicely appointed, very clean. The couple of small issues were a lack of drawer space. Travelling with - kids, we really like to unpack and feel organized and there simply was very little drawer space to do this, so we lived out of suit cases. There was plenty of room in the suite for a dresser, but it simply wasn't there. Also, the bathrooms were somewhat lacking for a high end hotel. There is not a lot of counter space and not a seperate room for the toliet. Also, the walls are very thin and I woke up both mornings becasue of people talking outside of my room-it seemed like they were right in our room with us.
Overall, it is a very nice hotel-however, be expecting big and crowded. We had just come from a four seasons in jackson hole, so it took some getting used to.
We were trapped on the runway at the airport because of a bomb threat at the airport. We finally got to the hotel after a long day of travel and the front desk told us that the restaurant at the pool-water park closed at - (it was about -:--) 
We rushed to the pools so the kids could go on the water slides and we could order food-unfortunately, the food service ended at -...so we were out of luck--we were starving and now wet...so we walked to the sports bar-where they told us it would be -- min wait for a table (even though there were a lot of tables open...) so I grabbed the manager, Chelsea, told her our story and she was very helpful and we were seated within minutes. I really appreciated her kindness and attention. Thank you Chelsea for really coming to our rescue! The food was good, service a little slow, but decent.
Prior to our stay-I had called the concierge and asked for recommendations on how to plan our few days at the hotel. She recommended staying on site on saturday because of all the kids activities and heading to Seaworld on Friday.
When we were at the pool on thursday-we asked about booking a cabana for saturday, only to find out they were all booked. This was very frustrating to me for a few reasons-first, in my opinion, if you call and ask for the concierge's advice and they suggest staying on site for a saturday-they should mention the cabana rental. The place was an absolute zoo on saturday. By --am, there were absolutely no chairs left--NONE! line of at least --- guests waiting to get their wrist band to get into the water park. secondly, we were staying in the highest room category on site. At most high end hotels, the guests staying in the highest end rooms are at least offered the ammenties such as a cabana (not for free, just the ability to rent one)...
Thankfully, the concierge manager Donna was wonderful and was able to reserve an end-cap cabana for us and it saved our last day on our vacation. Without that, between the crowds and the heat, it literally would have been miserable. Thank you Donna for your help and understanding.
Honestly, I felt like I was given bad advice by the concierge. The hotel is way over-crowded on the weekend. It is unmanageable and unpleasant. I wish we had gone to seaworld on saturday and stayed at the hotel on fri.
In general, this is a nice, clean hotel. It is just too big for my taste. The crowds were like a vegas hotel. The service was just ok because of the size. We ordered room service every morning and every morning, something was not right.
The water park is great, my kids love waterparks and the slides are big and fun. 
If I were to go back to this hotel, it would certainly not be on a weekend. I wouldn't even consider going on a weekend. Maybe it was because it was the summer...but just crazy.
Also, every time we called the front desk for something, we were on hold for a few minutes.
In short, nice grounds, pretty hotel, clean and big rooms-new, service couldn't keep up with the crowds.
Chelsea and Donna were life savers. They were a highlight of great service during a stay full of very mediocre service.
Lacking the service for a -+ star hotel....but then again, I had just checked out of a Four Seasons, so it had a lot to live up to. You will feel like a number at this hotel-nothing personalize at all.",happy
"Hotel is modern and attractive. Convenient to many locations and only a couple of blocks walk from Penn Station. Very helpful, courteous staff. Coffee is offered in the lobby in the mornings and wine in the evenings. Wish they had soda vending machine in hotel. Few glitches included television that didn't work, door key cards that didn't work and a couple of staff who we would have liked to be more helpful or knowledgeable.",happy
"We were there in October at an unseasonally warm time. Had we'd known, we would have brought """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""pool gear."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" So many poosl! My husband and I flew in from Seattle and met our family who drove in from LA. We only had - nights to spend there and I wish it had been more. There is so much to do just on the property that we didn't have the opportunity to take advantage of. Next time I'd go when more of the summer offerings are still available on the property. But we did buy the Sea World package. Didn't have time to do much else.",happy
"We only spent one day & night and it was amazing! Would definitely recommend the hotel to a friend or family &I would definitely stay again! The first thing I was asked after verifying who I was, was, how can we improve your stay? Engel was very pleasant &I helpful and gave us a higher room. The lobby was open and airy with a lounge vibe and plenty of people enjoying it. Plus the hotel is only a few blocks walk from the Times Square lights, entertainment & shopping. The only con was that the bathroom fan wasn't working but that was definitely minor. Kudos to TRYP hotel, can't wait to go back!",happy
"The property itself is clean, well-presented and well-maintained. However, for an airport hotel, and a property which does a great deal
of it's business with flight crews, it certainly does not go out of it's way to ensure that the crews are indulged. 
We are Marriott Rewards customers (albeit the basic level), and were assigned a room on the ground floor - with a very narrow door, making
it hard to push our luggage through. This was almost laughable since the rooms on the opposite side of the hall had standard sized doors. 
As other reviewers have noted, internet access is charged at $--.-- plus tax per day ... and parking is $--! So, a relatively inexpensive
room rate is pushed up substantially by the add-ons. So, if you have no car, and no need to use the internet - then this hotel is a relative bargain; if you need those accoutrement then the price rises
rapidly - and I would recommend the Doubletree down off of Sepulveda.
The other matter I took issue with during my stay was the large gathering that was held the morning of our departure. Since we were on the ground floor, and since there was an entry-exit at the end of our hall, it became very noisy in the morning as the group filed in, and furthermore, many members of that group were smokers so the hall was quite malodorous by the time we departed. Apparently, no effort was made to prevent the attendees from smoking in the lodging hallways.
On the bright side, corporate policy allows for a - PM departure upon
request - although that is done via the internet before one's arrival.
In summary, I would like to compliment the staff - to a person, they were pleasant and affable. To the management - rather than nickel-and-diming your flight crews, why not bundle everything so they will want to visit your property when traveling on leisure? 
In all honesty, I probably would not return. More because I was disenchanted with the ground level room and the noise than for any other reason. Otherwise, it has the feel of a mid-level airport hotel.",not happy
"Stayed for several days for business. Very clean, very quiet in the rooms. Free breakfast was ok, about what I would expect. Location is very convenient - restaurants and stores all within walking distance.
Cabs can be hard to get here though - best to have the front desk call in advance. Also, the position of my room was on an inside corner, so if you went up to the window you could look right into your neighbors room, which was a little strange. 
Overall though, I would return.",happy
My husband and I stayed in a guest room with a queen bed. It’s a very historic hotel with people form Teddy Roosevelt to the Beatles staying here. I was a disappointed in our room and I guess the hotel as a whole. I just expected something a little more glamorous for a hotel with such a high rating. It’s a little walk from the --th street mall which can see like miles in the Denver cold! I enjoyed the Hotel Monaco much more.,not happy
"My husband and I stayed at The Menger two weekends in a row. We had an awesome to time. The staff was ever so helpful and the beds were Oh so comfy.I also love the history of the hotel and the decor. The location was perfect, everything was in walking distance. I will definitely stay there again and again.:)",happy
"I was curious about this hotel as it was under renovation but still relatively inexpensive considering the location. And true, the location was great - we walked everywhere (Central Park, Chrysler Building, Broadway, etc). The room was indeed newly renovated, but some of it felt like surface make-up. Bits of paint appeared slapped on and was starting to peel off, covering the carpet in small white dots of paint. There was a bit of chewing gum stuck on our bathroom door. The toiletries were nice but not replaced on our second day.There were small hairs stuck to our bathroom door and wall which never got removed. The desk lamp cable was disconnected with no outlet in sight (I found some in the bathroom), the desk drawer was broken and my bed wasn't made properly.
The room temperature showed -- degrees and I admit I'm no genius with thermostats but I usually make them work eventually. Here, I only managed to get cold air and decided to live with it the first night but in the morning my mum had placed a towel over her duvet as she was cold (there was a small draught coming in from the window and no extra rugs or duvet). I called reception and was told that maybe it wasn't cold enough to put on the heat but he would send someone up in a minute or two. We waited -- minutes in vain and left to get breakfast. If the tech person showed up, (s)he did so while we were away. 
I don't know what to make of this hotel. I might stay there again as everything else in the area is so expensive and I can live with little faults - I am after all not in NY to sit all day in my room and I am sure there's far worse out there - but it irks me that the cleaning is not quite up to scratch.",not happy
